Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,232,2000.0,6.392218897771095e-16,7.174518672376954e-13,Inf
1,233,2000.0,6.392216784381176e-16,7.173677082555514e-13,Inf
1,234,2000.0,6.392221244656775e-16,7.174522235174649e-13,Inf
1,235,2000.0,6.392217410318197e-16,7.176783516390614e-13,Inf
1,236,2000.0,6.392216173861905e-16,7.175434921356796e-13,Inf
1,237,2000.0,6.39220873034206e-16,7.182624043919777e-13,Inf
1,238,2000.0,6.392219941696858e-16,7.17450838776815e-13,Inf
1,239,2000.0,6.392208209292995e-16,7.179350179508713e-13,Inf
1,240,2000.0,6.392216138894541e-16,7.174053011791247e-13,Inf
1,241,2000.0,6.392209551920624e-16,7.174069797695888e-13,Inf
1,242,2000.0,6.39221692374778e-16,7.173460882588473e-13,Inf
1,243,2000.0,6.392214806342117e-16,7.175104558325176e-13,Inf
1,244,2000.0,6.392221295862809e-16,7.179350830786804e-13,Inf
1,245,2000.0,6.392220316641311e-16,7.179350781950314e-13,Inf
1,246,2000.0,6.392221400820437e-16,7.179350836018038e-13,Inf
1,247,2000.0,6.392221746704515e-16,7.179350853040348e-13,Inf
1,248,2000.0,6.392220197820935e-16,7.179350776091135e-13,Inf
1,249,2000.0,6.392221113108602e-16,7.179350821833156e-13,Inf
1,250,2000.0,6.392221255847745e-16,7.179350828819259e-13,Inf
1,251,2000.0,6.39222116484879e-16,7.179350824382172e-13,Inf
1,252,2000.0,6.392222249659005e-16,7.179350877529766e-13,Inf
1,253,2000.0,6.392205697576028e-16,7.179350054536248e-13,Inf
1,254,2000.0,6.39220891828836e-16,7.174535396179618e-13,Inf
1,255,2000.0,6.392210937584465e-16,7.181539100090157e-13,Inf
1,256,2000.0,6.392212648033827e-16,7.183135167209183e-13,Inf
1,257,2000.0,6.392205355308845e-16,7.182378855898262e-13,Inf
1,258,2000.0,6.392195424509808e-16,7.179467903638394e-13,Inf
1,259,2000.0,6.39219157886212e-16,7.175051291442103e-13,Inf
1,260,2000.0,6.392201595907257e-16,7.178469317038221e-13,Inf
1,261,2000.0,6.392191785466432e-16,7.17305401330647e-13,Inf
1,262,2000.0,6.392213220327296e-16,7.182892775327362e-13,Inf
1,263,2000.0,6.392202475123911e-16,7.179349891636521e-13,Inf
1,264,2000.0,6.392221814431948e-16,7.179350856341703e-13,Inf
1,265,2000.0,6.392219305311028e-16,7.179350732541576e-13,Inf
1,266,2000.0,6.392222047327921e-16,7.179350867691229e-13,Inf
1,267,2000.0,6.392221747265932e-16,7.179350853067914e-13,Inf
1,268,2000.0,6.392222246749938e-16,7.179350877390148e-13,Inf
1,269,2000.0,6.392219204124786e-16,7.179350727629146e-13,Inf
1,270,2000.0,6.39222072935819e-16,7.179350802585503e-13,Inf
1,271,2000.0,6.39217999377355e-16,7.174363491279979e-13,Inf
1,272,2000.0,6.392209257893863e-16,7.17422928156486e-13,Inf
