ID,Zone,Connected,Total_Import_MWh,Total_Export_MWh
295,1,1,0.0,0.0
296,1,1,0.0,0.0
297,1,1,0.0,0.0
298,1,1,0.0,0.0
299,1,1,0.0,0.0
300,1,1,0.0,0.0
301,1,1,0.0205039481599993,0.0
302,1,1,0.013530999999998974,0.0
303,1,1,0.0,0.0
304,1,1,0.0,0.0
305,1,1,0.0,0.0
306,1,1,0.031097057066666996,0.0
307,1,1,0.0,0.0
308,1,1,0.004644622506666574,0.0
309,1,1,0.02208261440000095,0.0
310,1,1,0.009282000000001678,0.0
311,1,1,0.0,0.0
312,1,1,0.017067932160000562,0.0
313,1,1,0.012347999999997918,0.0
314,1,1,0.0,0.0
315,1,1,0.0,0.0
316,1,1,0.010488415999999907,0.0
317,1,1,0.0,0.0
318,1,1,0.0,0.0
319,1,1,0.015392999999999997,0.0
320,1,1,0.0,0.0
321,1,1,0.0,0.0
322,1,1,0.0,0.0
323,1,1,0.009747598079999677,0.0
324,1,1,0.004864189226666038,0.0
325,1,1,0.0,0.0
326,1,1,0.0,0.0
327,1,1,0.0,0.0
328,1,1,0.014825999999994934,0.0
329,1,1,0.0,0.0
330,1,1,0.0,0.0
331,1,1,0.0,0.0
332,1,1,0.0,0.0
333,1,1,0.0011227733903000623,0.0
334,1,1,0.03136611146666612,0.0
335,1,1,0.0,0.0
336,1,1,0.0,0.0
337,1,1,0.0,0.0
338,1,1,0.004922011733333828,0.0
339,1,1,0.0,0.0
340,1,1,0.0,0.0
341,1,1,0.0,0.0
342,1,1,0.0,0.0
343,1,1,0.0,0.0
344,1,1,0.0,0.0
345,1,1,0.0,0.0
346,1,1,0.0,0.0
347,1,1,0.0,0.0
348,1,1,0.0,0.0
349,1,1,0.0,0.0
350,1,1,0.001957004160000015,0.0
351,1,1,0.006230000000000307,0.0
352,1,1,0.0,0.0
353,1,1,0.0,0.0
354,1,1,0.01746500000000101,0.0
355,1,1,0.0,0.0
356,1,1,0.0,0.0
357,1,1,0.011644461439999337,0.0
358,1,1,0.019947739733333525,0.0
359,1,1,0.0,0.0
360,1,1,0.0,0.0
361,1,1,0.014398999999997126,0.0
362,1,1,0.0,0.0
363,1,1,0.0,0.0
364,1,1,0.009851712665406832,0.0
365,1,1,0.0,0.0
366,1,1,0.015438362453333913,0.0
367,1,1,0.0,0.0
368,1,1,0.0,0.0
369,1,1,0.0,0.0
370,1,1,0.0,0.0
371,1,1,0.023376333866666522,0.0
372,1,1,0.0,0.0
373,1,1,0.0,0.0
374,1,1,0.0,0.0
375,1,1,0.0,0.0
376,1,1,0.010640076373333265,0.0
377,1,1,0.0,0.0
378,1,1,0.004509866133333373,0.0
379,1,1,0.021775530133333436,0.0
380,1,1,0.0031816614400001393,0.0
381,1,1,0.0,0.0
382,1,1,0.0039928140799998894,0.0
383,1,1,0.0034894999999989795,0.0
384,1,1,0.0,0.0
385,1,1,0.0,0.0
386,1,1,0.0011926077866666242,0.0
387,1,1,0.0,0.0
388,1,1,0.0,0.0
389,1,1,0.006531251199999796,0.0
390,1,1,0.0,0.0
391,1,1,0.0,0.0
392,1,1,0.11208413232514622,0.0
393,1,1,0.11063707981516362,0.0
394,1,1,0.06472960869565102,0.0
395,1,1,0.10131937744174524,0.0
396,1,1,0.09408076864000055,0.0
397,1,1,0.0,0.0
398,1,1,0.0063909999999996305,0.0
399,1,1,0.002866828373333352,0.0
400,1,1,0.01253852853333258,0.0
401,1,1,0.0,0.0
402,1,1,0.006043448015123606,0.0
403,1,1,0.0,0.0
404,1,1,0.0,0.0
405,1,1,0.0,0.0
406,1,1,0.0031497452800000464,0.0
407,1,1,0.015056999999996006,0.0
408,1,1,0.004157686613333291,0.0
409,1,1,0.009003690880000761,0.0
410,1,1,0.006798151228729399,0.0
411,1,1,0.011711000000002086,0.0
412,1,1,0.0,0.0
413,1,1,0.01356392005419195,0.0
414,1,1,0.0,0.0
415,1,1,0.012929760869566341,0.0
416,1,1,0.0,0.0
417,1,1,0.00526157119999978,0.0
418,1,1,0.0,0.0
419,1,1,0.0,0.0
420,1,1,0.006076000000000443,0.0
421,1,1,0.0,0.0
422,1,1,0.0,0.0
423,1,1,0.0,0.0
424,1,1,0.0,0.0
425,1,1,0.01330699999999926,0.0
426,1,1,0.0,0.0
427,1,1,0.0,0.0
428,1,1,0.0,0.0
429,1,1,0.0,0.0
430,1,1,0.0,0.0
431,1,1,0.0034008845866668747,0.0
432,1,1,0.0,0.0
433,1,1,0.0,0.0
434,1,1,0.0021286095999999283,0.0
435,1,1,0.0,0.0
436,1,1,0.0,0.0
437,1,1,0.0,0.0
438,1,1,0.0,0.0
439,1,1,0.0,0.0
440,1,1,0.0,0.0
441,1,1,0.002817805440000154,0.0
442,1,1,0.002579500000000251,0.0
443,1,1,0.00830900000000371,0.0
444,1,1,0.0036050000000032987,0.0
445,1,1,0.022085000000001232,0.0
446,1,1,0.0034278878933332695,0.0
447,1,1,0.0,0.0
448,1,1,0.0,0.0
449,1,1,0.0,0.0
450,1,1,0.0,0.0
451,1,1,0.0,0.0
452,1,1,0.0,0.0
453,1,1,0.0,0.0
454,1,1,0.0,0.0
455,1,1,0.016151937618146716,0.0
456,1,1,0.0,0.0
457,1,1,0.0,0.0
458,1,1,0.0,0.0
459,1,1,0.0,0.0
460,1,1,0.0,0.0
461,1,1,0.0,0.0
462,1,1,0.0,0.0
463,1,1,0.0,0.0
464,1,1,0.0,0.0
465,1,1,0.0038871538133334813,0.0
466,1,1,0.0,0.0
467,1,1,0.001313041493333342,0.0
468,1,1,0.0,0.0
469,1,1,0.0,0.0
470,1,1,0.0,0.0
471,1,1,0.0,0.0
472,1,1,0.008023302933333337,0.0
473,1,1,0.0,0.0
474,1,1,0.005381365784500117,0.0
475,1,1,0.0,0.0
476,1,1,0.00565784405333416,0.0
477,1,1,0.0,0.0
478,1,1,0.0,0.0
479,1,1,0.0,0.0
480,1,1,0.0,0.0
481,1,1,0.02184739733333425,0.0
482,1,1,0.0,0.0
483,1,1,0.0,0.0
484,1,1,0.0,0.0
485,1,1,0.0035402353066665906,0.0
486,1,1,0.0,0.0
487,1,1,0.0,0.0
488,1,1,0.0,0.0
489,1,1,0.0,0.0
490,1,1,0.0,0.0
491,1,1,0.011599000000000016,0.0
492,1,1,0.0015441411200000851,0.0
493,1,1,0.0,0.0
494,1,1,0.02746866726772154,0.0
495,1,1,0.0,0.0
496,1,1,0.0,0.0
497,1,1,0.0,0.0
498,1,1,0.0,0.0
499,1,1,0.0063352403200000445,0.0
500,1,1,0.0,0.0
501,1,1,0.02411125519848757,0.0
502,1,1,0.0,0.0
503,1,1,0.11899060863999797,0.0
504,1,1,0.11762978453333134,0.0
505,1,1,0.0,0.0
506,1,1,0.0,0.0
507,1,1,0.043782600959998065,0.0
508,1,1,0.0,0.0
509,1,1,0.004480000000000522,0.0
510,1,1,0.0,0.0
511,1,1,0.016051323733332606,0.0
512,1,1,0.0017150000000003274,0.0
513,1,1,0.002427746133333339,0.0
514,1,1,0.07547588287999941,0.0
515,1,1,0.0,0.0
516,1,1,0.10356859232000085,0.0
517,1,1,0.007797999999999995,0.0
518,1,1,0.0,0.0
519,1,1,0.004970760869566148,0.0
520,1,1,0.08194573781333321,0.0
